grade,sqft_above,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_basement,yr_built,zipcode
7,1180,221900,3,1,1180,5650,1,0,1955,98178
7,2170,538000,3,2.25,2570,7242,2,400,1951,98125
6,770,180000,2,1,770,10000,1,0,1933,98028
7,1050,604000,4,3,1960,5000,1,910,1965,98136
8,1680,510000,3,2,1680,8080,1,0,1987,98074
11,3890,1.23E+06,4,4.5,5420,101930,1,1530,2001,98053
7,1715,257500,3,2.25,1715,6819,2,0,1995,98003
7,1060,291850,3,1.5,1060,9711,1,0,1963,98198
7,1050,229500,3,1,1780,7470,1,730,1960,98146
7,1890,323000,3,2.5,1890,6560,2,0,2003,98038
8,1860,662500,3,2.5,3560,9796,1,1700,1965,98007
7,860,468000,2,1,1160,6000,1,300,1942,98115
7,1430,310000,3,1,1430,19901,1.5,0,1927,98028
7,1370,400000,3,1.75,1370,9680,1,0,1977,98074
7,1810,530000,5,2,1810,4850,1.5,0,1900,98107
9,1980,650000,4,3,2950,5000,2,970,1979,98126
7,1890,395000,3,2,1890,14040,2,0,1994,98019
7,1600,485000,4,1,1600,4300,1.5,0,1916,98103
7,1200,189000,2,1,1200,9850,1,0,1921,98002
7,1250,230000,3,1,1250,9774,1,0,1969,98003
7,860,385000,4,1.75,1620,4980,1,760,1947,98133
9,2330,2.00E+06,3,2.75,3050,44867,1,720,1968,98040
8,2270,285000,5,2.5,2270,6300,2,0,1995,98092
7,1070,252700,2,1.5,1070,9643,1,0,1985,98030
8,2450,329000,3,2.25,2450,6500,2,0,1985,98030
6,1710,233000,3,2,1710,4697,1.5,0,1941,98002
8,1750,937000,3,1.75,2450,2691,2,700,1915,98119
8,1400,667000,3,1,1400,1581,1.5,0,1909,98112
7,790,438000,3,1.75,1520,6380,1,730,1948,98115
8,2570,719000,4,2.5,2570,7173,2,0,2005,98052
8,2320,580500,3,2.5,2320,3980,2,0,2003,98027
7,1190,280000,2,1.5,1190,1265,3,0,2005,98133
7,1510,687500,4,1.75,2330,5000,1.5,820,1929,98117
8,1090,535000,3,1,1090,3000,1.5,0,1929,98117
7,1280,322500,4,2.75,2060,6659,1,780,1981,98058
8,1510,696000,3,2.5,2300,3060,1.5,790,1930,98115
5,930,550000,4,1,1660,34848,1,730,1933,98052
8,2360,640000,4,2,2360,6000,2,0,1904,98107
7,890,240000,4,1,1220,8075,1,330,1969,98001
8,2620,605000,4,2.5,2620,7553,2,0,1996,98056
9,2570,625000,4,2.5,2570,5520,2,0,2000,98074
8,2600,775000,4,2.25,4220,24186,1,1620,1984,98166
9,3595,861990,5,2.75,3595,5639,2,0,2014,98053
7,1570,685000,3,1,1570,2280,2,0,1922,98119
6,920,309000,3,1,1280,9656,1,360,1959,98058
8,3160,488000,3,2.5,3160,13603,2,0,2003,98019
6,990,210490,3,1,990,8528,1,0,1966,98023
9,2290,785000,4,2.5,2290,13416,2,0,1981,98007
7,1250,450000,3,1.75,1250,5963,1,0,1953,98115
9,2165,1.35E+06,3,2.5,2753,65005,1,588,1953,98070
7,1190,228000,3,1,1190,9199,1,0,1955,98148
8,1640,345000,5,2.5,3150,9134,1,1510,1966,98056
7,1000,600000,3,1.75,1410,4080,1,410,1950,98117
7,990,585000,2,1.75,1980,8550,1,990,1981,98117
8,2130,920000,5,2.25,2730,6000,1.5,600,1927,98105
9,2830,885000,4,2.5,2830,5000,2,0,1995,98105
7,2250,292500,4,2.5,2250,4495,2,0,2008,98042
8,2420,301000,3,2.5,2420,4750,2,0,2003,98042
8,3250,951000,5,3.25,3250,14342,2,0,1968,98008
8,1850,430000,4,3,1850,9976,2,0,1991,98059
8,1590,650000,3,2.25,2150,21235,1,560,1959,98166
7,1260,289000,3,1.75,1260,8400,1,0,1954,98148
8,2519,505000,3,1.75,2519,8690,2,0,1973,98166
8,1540,549000,3,1.75,1540,1044,3,0,2014,98115
7,1110,425000,3,2.25,1660,6000,1,550,1979,98122
7,1770,317625,3,2.75,2770,3809,1.5,1000,1925,98144
10,2720,975000,4,2.5,2720,11049,2,0,1989,98004
7,2240,287000,4,2.5,2240,4648,2,0,2005,98001
7,1000,204000,3,1,1000,12070,1,0,1968,98042
8,1600,1.33E+06,5,2.25,3200,20158,1,1600,1965,98004
11,3070,1.04E+06,5,3.25,4770,50094,1,1700,1973,98005
7,1260,325000,3,2,1260,5612,1,0,1972,98034
7,2250,571000,4,2,2750,7807,1.5,500,1916,98125
8,2380,360000,4,2.5,2380,5000,2,0,2005,98038
7,1090,349000,3,1.75,1790,50529,1,700,1965,98042
10,2390,832500,4,4,3430,35102,2,1040,1986,98075
7,880,380000,4,1.75,1760,7300,1,880,1956,98008
7,1040,480000,3,1,1040,5060,1,0,1941,98116
7,910,410000,3,1,1410,5060,1,500,1956,98133
10,3450,720000,4,2.5,3450,39683,2,0,2002,98010
8,2350,390000,3,2.5,2350,5100,2,0,2003,98038
7,1900,360000,4,2.5,1900,5889,2,0,1992,98038
7,1010,355000,2,1,2020,6720,1,1010,1948,98118
8,1680,356000,3,1.5,1680,8712,1,0,1964,98059
6,960,315000,3,1,960,6634,1,0,1952,98125
9,1900,940000,3,1.5,2140,3600,2,240,1925,98119
7,2660,305000,5,2.25,2660,8400,1.5,0,1961,98092
9,1980,461000,3,3.25,2770,6278,2,790,2006,98056
7,1610,215000,2,2.25,1610,2040,2,0,1979,98056
7,765,335000,2,1.75,1030,1066,2,265,2006,98136
7,1980,243500,4,2.5,1980,7403,2,0,1988,98023
10,3520,1.10E+06,5,2.75,3520,6353,2,0,2001,98199
7,1200,153000,3,1,1200,10500,1,0,1962,98023
